Payment_ID,Order_ID,Payment_Date,Payment_Amount,Payment_Method
PAY-0448,ORD-0314,2024-07-11,33689.07,Net Banking
PAY-0449,ORD-0089,2024-10-13,18408.08,Net Banking
PAY-0450,ORD-0493,2024-11-03,24588.32,Debit Card
PAY-0451,ORD-0362,2024-05-05,33222.35,Credit Card
PAY-0452,ORD-0240,2024-07-20,25088.0,Credit Card
PAY-0453,ORD-0499,2024-08-17,15420.26,Cash
PAY-0454,ORD-0453,2024-05-20,30871.88,Net Banking
PAY-0455,ORD-0497,2024-07-15,30166.59,Debit Card
PAY-0456,ORD-0264,2024-07-15,27200.68,Net Banking
PAY-0457,ORD-0120,2024-02-15,46132.47,Debit Card
PAY-0458,ORD-0141,2024-08-01,16427.98,Credit Card
PAY-0459,ORD-0340,2024-08-06,33307.05,Net Banking
PAY-0460,ORD-0112,2024-08-14,35971.86,Debit Card
PAY-0461,ORD-0021,2024-04-15,22974.55,Cash
PAY-0462,ORD-0385,2024-05-22,3510.86,Net Banking
PAY-0463,ORD-0328,2024-10-18,47552.48,Credit Card
PAY-0464,ORD-0466,2024-08-30,20338.83,Net Banking
PAY-0465,ORD-0283,2024-12-02,40327.09,Cash
PAY-0466,ORD-0361,2024-06-14,9137.61,Credit Card
PAY-0467,ORD-0211,2024-06-19,13138.67,Net Banking
PAY-0468,ORD-0173,2024-08-15,42662.38,Credit Card
PAY-0469,ORD-0159,2024-09-24,43550.17,UPI
PAY-0470,ORD-0147,2024-09-11,2660.54,UPI
