Shipment_ID,Order_ID,Shipment_Date,Expected_Delivery,Shipment_Status
SHP-0425,ORD-0382,2024-05-25,2024-06-01,Delivered
SHP-0426,ORD-0408,2024-05-07,2024-05-14,Delivered
SHP-0427,ORD-0367,2024-08-28,2024-08-30,Returned
SHP-0428,ORD-0228,2024-07-21,2024-07-28,Returned
SHP-0429,ORD-0432,2024-12-22,2024-12-28,Returned
SHP-0430,ORD-0438,2024-10-30,2024-11-05,Returned
SHP-0431,ORD-0292,2024-03-06,2024-03-10,Delivered
SHP-0432,ORD-0384,2024-12-28,2024-12-30,In Transit
SHP-0433,ORD-0039,2024-12-15,2024-12-20,Delivered
SHP-0434,ORD-0141,2024-08-03,2024-08-08,Delivered
SHP-0435,ORD-0007,2024-01-16,2024-01-23,Delivered
SHP-0436,ORD-0425,2024-05-10,2024-05-15,Delivered
SHP-0437,ORD-0153,2024-01-05,2024-01-09,Delivered
SHP-0438,ORD-0445,2024-04-28,2024-05-01,Delivered
SHP-0439,ORD-0154,2024-02-25,2024-03-03,Delivered
SHP-0440,ORD-0424,2024-06-08,2024-06-15,Delivered
SHP-0441,ORD-0140,2024-08-23,2024-08-30,Delivered
SHP-0442,ORD-0167,2024-08-28,2024-09-01,In Transit
SHP-0443,ORD-0222,2024-10-22,2024-10-29,Delivered
SHP-0444,ORD-0085,2024-06-18,2024-06-24,In Transit
SHP-0445,ORD-0121,2024-05-26,2024-06-01,Delivered
SHP-0446,ORD-0070,2024-04-11,2024-04-18,Delivered
SHP-0447,ORD-0313,2024-12-14,2024-12-21,In Transit
SHP-0448,ORD-0463,2024-01-10,2024-01-12,Delivered
SHP-0449,ORD-0468,2024-08-15,2024-08-20,Delivered
SHP-0450,ORD-0022,2024-08-24,2024-08-27,Delivered
SHP-0451,ORD-0431,2024-10-04,2024-10-06,In Transit
SHP-0452,ORD-0460,2024-11-24,2024-11-28,In Transit
SHP-0453,ORD-0082,2024-06-08,2024-06-14,Delivered
SHP-0454,ORD-0095,2024-12-14,2024-12-18,In Transit
SHP-0455,ORD-0099,2024-06-05,2024-06-07,Delivered
SHP-0456,ORD-0322,2024-02-25,2024-02-27,Delivered
SHP-0457,ORD-0234,2024-09-09,2024-09-12,Delivered
SHP-0458,ORD-0435,2024-04-23,2024-04-30,Returned
SHP-0459,ORD-0143,2024-10-22,2024-10-29,In Transit
SHP-0460,ORD-0276,2024-01-12,2024-01-16,Returned
SHP-0461,ORD-0107,2024-10-24,2024-10-28,Delivered
SHP-0462,ORD-0168,2024-12-10,2024-12-13,Returned
SHP-0463,ORD-0278,2024-01-29,2024-02-01,In Transit
SHP-0464,ORD-0037,2024-09-20,2024-09-22,Delivered
SHP-0465,ORD-0439,2024-09-27,2024-09-29,Delivered
SHP-0466,ORD-0477,2024-09-09,2024-09-15,Returned
SHP-0467,ORD-0344,2024-07-05,2024-07-10,Delivered
SHP-0468,ORD-0161,2024-01-28,2024-02-02,Delivered
SHP-0469,ORD-0430,2024-03-03,2024-03-10,Returned
SHP-0470,ORD-0298,2024-08-28,2024-09-04,Delivered
SHP-0471,ORD-0440,2024-11-04,2024-11-07,Delivered
SHP-0472,ORD-0016,2024-02-26,2024-03-03,Delivered
SHP-0473,ORD-0025,2024-04-29,2024-05-03,Delivered
SHP-0474,ORD-0152,2024-12-19,2024-12-26,Returned
SHP-0475,ORD-0015,2024-12-27,2024-12-29,Delivered
SHP-0476,ORD-0192,2024-02-10,2024-02-13,Delivered
SHP-0477,ORD-0038,2024-07-25,2024-07-30,Delivered
SHP-0478,ORD-0483,2024-03-20,2024-03-24,Delivered
SHP-0479,ORD-0454,2024-01-26,2024-02-02,Delivered
SHP-0480,ORD-0172,2024-06-14,2024-06-17,Delivered
